target,count,example_text_1,example_text_2,example_text_3
nút,3,"nút tắt bị liệt , đèn không sáng",nút tắt không ăn,"nhưng nút thì không chắc_chắn , mới mặc thử đã bị gãy mất 1 nút nên để an_toàn chắc phải đi thay hết nút cho chắc_chắn"
tay,3,tay mjnh hơi nho so voi dong ho roi,tay cầm_hơi lỏng,tay a o may hơi â u
tay áo,3,tay_áo rất khó cử_động,tay_áo không thêu,tay_áo phồng to so với mình
âm thanh,3,tai_nghe âm_thanh rất kém,Mình vừa mới mua nên ko đánh giá được nhiều nhưng có 1  điều là :. âm thanh dở quá nhỉ.rè rè thế nào í.,"khá đẹp , nhưng thật_sự âm_thanh không to"
mát,3,mát,mặc thử thấy rất nhẹ và mát,mặc rất thoải_mái thoáng mát
box,3,vì vận_chuyển nên hư box mất tiêu,box thì bị nát,"hơi thất_vọng vì box không phải box vans , giày đẹp"
gia,3,gia tot,"gia tot nhug tui nho qua kho su dung , mac du sot tac nho nhug van không vua",gia hơi cao_ty
nguyên,3,nguyên tag mác pass lại 100k bạn nào có nhu_cầu ib mình nhé,nguyên một viết mực lớn . 3,nguyên seal
vãi,3,vãi day,vãi thật,vãi mõng_vá
mang,3,"mang đi mưa mà vẫn ướt như_thường , dây buộc không bó sát chân được",mang bị đau chân,mang êm chân lắm nè !
quâ,3,quâ n hơi to,quâ n đe_p da ng thun gia jeasn không pik giă tôi co bay ma u không nhưng vơ i gia na y la qua tô tôi,quâ n qua đe_p so với gia tiê n
rat,3,rat kem,rat tuyet voi,rat dep lun
đáng,3,đáng nhẽ là không được nào ấy ạ,đáng mua,đáng để mua
hy vọng,3,hy_vọng bền !,hy_vọng giặt đi sẽ hết mùi,hy_vọng đk như review
bộ nhớ,3,"Giá rẻ nhưng thiết kế đẹp, bộ nhớ trong , ram cao. Phù hợp mua cho con học trực tuyến trong mùa dịch","Con này chip yếu,  bộ nhớ chậm,  dùng được 1 tgian là lag giật đấy mọi người ơi. Ngoài ra vỏ nhựa rất mau tã. 
Cùng tiền này mua Realme 5 pro,  Redmi Note 8 pro hay Mi 9 lite ngon hơn nhiều.","Sao ghi là Bộ nhớ 32GB mà mở lên chỉ 20GB xong chỉ tải những app bình thường để lướt web giờ chỉ còn 16GB . ( chưa tải game nặng để choi nữa) 
   Phải mua thêm thẻ nhớ 32GB"
sáp,2,sáp không có tác_dụng mấy,sáp loại nào cũng thơm,
thật sự,2,thật_sự nhìn kém sang hẳn,thật_sự thất_vọng,
date,2,"date còn mới , chưa sd nên không biết có tốt không",date sản_xuất mới 16 10,
trông,2,trông cho trời lạnh để diện em nó,trông nhỏ quá,
coi,2,coi như bố_thí cho cân thịt,coi như là bỏ,
ống,2,nhưng ống thì vặn_vẹo,ống tay bị bé,
nhung,2,nhung ma mac ban dep,nhung chiê c ao babidon mau hồng bi 1 loi nho,
lưu ý,2,lưu_ý là giới_thiệu dành cho những bạn dưới 55kg nhưng mình 47kg mặc thấy khá ôm người rồi nên ai trên 50kg cân_nhắc nhé,lưu_ý cho những bạn mua sau,
cứng,2,dây hơi cứng,"nilon không thấm mồ_hôi , cứng",
con,2,con hạt mần thịt ăn rồi hả,con mình rất thik,
tưởng,2,tưởng là phải to lắm,tưởng hồng chứ tím già qá huhu,
mạng,2,mạng chạy chậm quá,mạng lúc có lúc không,
tiếc,2,tiếc quá,tiếc phần đế chưa được gia_công tốt,
đúng,2,đúng là sai sự_thật,đúng hang quảng_châu cao_cấp,
làm ăn,2,làm_ăn không ra_gì,làm_ăn không có trách_nhiệm gì cả,
check,2,"check mã code không ra , nên giờ đang băn_khoăn không biết thật giả như_thế_nào",check code đúng,
chi,2,chi co mot dau cap sac thoi,chi tiê tôi ma u đen bi ra ma u_râ tôi nhiê u khi giă tôi,
đep,2,đep ma hoi rông,đep lam,
ban,2,ban hang không uy tin,ban dua quan kem chu dau phai quan trang,
mỗi,2,mỗi tội hơi kích nách,mỗi tội hơi nhiều chỉ thừa,
thất vọng,2,thất_vọng mất hết_lòng tin,thất_vọng,
thiếu,2,thiếu nhiều miếng dán,thiếu phần cúc luôn,
kem,2,kem mịn nhưng độ che_phủ thấp,kem ngon tuyệt,
khác,2,khác xa so ảnh,khác hoàn_toàn ảnh,
bỉm,2,bỉm dùng chán,bỉm cg được nhưng có mùi ngủi rât kho chiu,
fom,2,fom đẹpi,fom a o hơi nho,
nhận,2,nhận được rồi nhưng có chỗ xước,"nhận ba_lô không ưng , chỉ có ví nguyên_vẹn vì có ép cũng không biến_dạng",
moi,2,moi nhin thay dep không biet dung co bi den không,"moi xem qua cung thay ưng , con chat luông phai dung da",
loại,2,"loại bỉm này thấm hút không tốt , dễ bị tràn bỉm",loại gì,
tai nghe,2,Quá tuyệt trong tầm giá.chí thiếu mở khoá bằng tai nghe Bluetooth. Tịnh năng có nhưng chưa ad đựoc. Chờ cập nhật...,"Mua đt đc 1tháng thì nỗi ko nhận tai nghe,đổi em khác đc gần tháng thì nỗimên đành gửi hãng bảo hành thay mên mới,tới nay 6 tháng rồi chạy vẫn ổn định,mình mua lúc giảm còn 5990k ,,,ko biết giá giảm thì chất lượng cũng giảm theo hay sao ấy,mua 1 con mà trong 1 tháng đổi 2lần....ko biết có bạn nào đen như mình ko vậy?? Mua ở tgdd kẻ sặt (nhân viên nhiệt tình chu đáo)",
màu son,2,màu son lên nhỉnh hơn với 08 thôi so bảng_màu hình đăng cuối sản_phẩm của shop,"màu son đẹp , mùi son rất thơm , chất_lỏng nhưng khi khô lại rất lì",
hoa văn,2,hoa_văn nhòe không sắc nét như ảnh,"hoa_văn xinh va i luôn , ca mình gia c không gia ti na o",
chấp nhận,2,chấp_nhận,chấp_nhận được ạ,
sau,2,sau rút kinh_nghiệm nha,sau đo đưa_ma ha ng cho kha ch tư tra,
hiệu năng,2,Thật không ngờ sản phảm giá tầm trung mà hiệu năng tốt đến vậy.,Quá thất vọng số về tầm giá và hiệu năng chỉ đáng xách dép Xiaomi note 9s.,
thuốc,2,thuốc mệt quá,thuốc bị chảy,
cung,2,cung tam_dc,cung được,
tam,2,tam on . sai mình to qua,tam đuợc đường mày không đuợc chắc_chắn,
hợp,2,hợp với ja tien . xai được,thích_hợp cho da sáng trung_bình,
bảo,2,bảo lấy 1 rêu 1 ghi mà_lại gửi 2 rêu vậy bạn,bảo siri l gửi siri mình,
hoi,2,hoi mong_manh so voi trong hinh anh,hoi thật vọng,
sáng,2,"sáng nay nhận 2 đơn , 1 đơn mĩ_phẩm mua 5 gửi 3",sáng hơn xenon,
phom áo,2,phom áo_rộng,xấu và nhìn phom áo chán đời luôn,
lên,2,lên môi mượt,lên tone nhẹ,
tôi,2,tôi thề,tôi muốn đổi trả có được không ?,
mac,2,mac hoi rong,mac ao thi rat dep nhung day mac hoi kho chui,
excellent,2,excellent product quality,excellent delivery speed excellent delivery speed,
kha,2,"kha ch hang bao doi tra thi chang ý kien gi , bơ_di",kha ưng,
mik,2,mik cao 155m năng 44 kí thôi bạn,"mik dùng thuoc được 3ngày và giảm được 3kg . vì 1ngày giảm mất 1kg nên cơ_thể mik không chịu nổi , và mik đã ngưng thuoc . thuoc buổi sáng cho mình cảm_giác no không muốn ăn . còn thuoc buổi tối thì là giảm cân",
noi,2,noi chung mua ve chi lam re lau,noi tom lai xau hon trong hinh,
dán,2,dán khó và không khít hẳn nhưng được cái rất dính,dán lên rất ăn và nhanh d,
cam,2,cam nhan dau tien la thich,cam on,
chắc chắn,2,chắc_chắn,chắc_chắn sẽ mua tiếp,
viền,1,viền cổ và bo tay đều không có,,
tiện dụng,1,tiện_dụng,,
đầu,1,đầu quay quay,,
hay là,1,hay_là mình bỏ 1 viên ít quá,,
xài,1,xài tạm được,,
ai đời,1,ai_đời lại bán xịn hơn trong hình_vậy,,
mieng,1,mieng xop chui kha mong_manh,,
cùng,1,cùng set nhưng cái to cái nhỏ nên trừ 1,,
dinh,1,dinh không noi,,
qua,1,"qua vu nho , 36 ma chi nhu 34 thoi",,
giận,1,giận !,,
case,1,trên case khôg có logo xiaomi,,
tem,1,tem mác không rõ ràg,,
tâc dụng,1,"tâc_dụng khá tốt , chỉ chưa biết là giữ được bao_lâu",,
chịu khó,1,nếu chịu_khó đi sửa thì có_thể mặc được,,
dởm,1,dởm,,
hồnh,1,hồnh thì nhỏ,,
ren,1,ren gợi_cảm,,
bàn,1,bàn bị mẻ ở góc,,
bản thân,1,bản_thân tôi đã gặp !,,
hi hi,1,hi_hi,,
kích thước,1,kích_thước cũng không được to,,
dong,1,dong goi dep,,
gần,1,gần 1 năm chứ nhiu,,
thiết kế,1,thiết_kế không bắt_mắt,,
co dãn,1,co_dãn tốt,,
bạn,1,bạn nào còn suy_nghĩ thì cứ mạnh_dạn nhé !,,
đến,1,đến lúc hỏi giải_quyết thì vẫn không nhận được lại một lời gì cả,,
miếng,1,"miếng này dễ hỏng lắm , chả biết nên dùng vào việc gì",,
phi,1,phi mình chi nh đô ng hô giây,,
điều,1,điều này mình không hài lòg lắm,,
trên,1,trên giâ y co di_nh 1 lơ p keo la mình mâ tôi đe_p,,
hình ảnh,1,hình_ảnh không đk sắc nét lắm,,
tại sao,1,tại_sao ? !,,
ban đầu,1,ban_đầu cho 3 sao,,
lừa,1,lừa ngta,,
moahh,1,moahh,,
bức xúc,1,bức_xúc mỗi việc bọn shoppe lm ăn vớ_vẩn rất,,
test,1,"mình test thử ở phần mắt thì che_phủ tốt , không có tác_dụng nhiều trên vết thâm mụn",,
đag,1,mình đag đặt mua cái thứ 3,,
nhin,1,nhin cuq duoc nhuq hk ung lam,,
hehe,1,hehe,,
phơi,1,phơi nắng rồi mà không thấy sáng,,
feedback,1,feedback thay cho 4 miếng mask nhé,,
thay,1,thay vào đó là mác đã cài kim_băng,,
sướng,1,sướng,,
bắt,1,bắt phải nhận lại,,
chả,1,chả pít tem bảo_hành ở đâu,,
bóc,1,bóc ra xong mới xem_lại made in china ?,,
cục,1,cục sạc hỏng ngay từ lần đầu sử_dụng,,
hag,1,"hag zua dep , zua re",,
yeu,1,yeu cau doi không doi,,
1m55,1,"1m55 50kg mac không vua , phải 60kg 1m6 moi vua",,
haha,1,haha,,
kinh tởm,1,kinh_tởm,,
bikini,1,bikini xuất_sắc luôn,,
bản,1,bản hơi nhỏ so với bình_thường,,
bơm,1,bơm yếu,,
cạn lời,1,cạn_lời,,
dog,1,dog gói bt,,
61kg,1,mình 61kg mà mặc xxl mèo vẫn vừa luôn,,
phần,1,phần sắt bị tróc sơn,,
nach,1,nach hơi rông,,
miễn,1,miễn chê,,
cảm ơn,1,cảm_ơn vì món quà nhỏ_nhắn,,
thu,1,thu ng đư ng to nhưng co thê do vâ n chuyê n nên đê n tay kha ch xô p_na tôi hê tôi,,
ghê vch,1,ghê_vch,,
đóng hộp,1,"giá rẻ , đóng_hộp rất cẩn_thận",,
răng,1,mình sài 7c và răng trắng hơn ban_đầu rõ_rệt,,
hnvcc,1,hnvcc,,
toi,1,toi thich san pham,,
hợp ý,1,hợp_ý mình,,
hành,1,"hành nguyên tem nhưng sao lắc lắc cứ cảm_thấy ít ít , được khoảng 2 3 chai ý",,
đối với,1,đối_với nam hơi body,,
phù hợp,1,phù_hợp với giá_thành,,
gửi,1,gửi trả lại bằng cách nào . tôi chấp_nhận mất coi như mua nhầm chổ_vậy,,
binh,1,binh thuong,,
kẹp,1,kẹp bị gựt tóc xíu,,
sice,1,sice s nhưng to quá,,
điên,1,điên quá,,
mắt,1,mắt lòng tin,,
khg,1,khg nên mua,,
lót,1,lót nỉ chứ không phải lót lông,,
hỏi,1,hỏi thì bảo không biết nhận được hay chưa,,
thun,1,thun ngay tay dãn nữa,,
gjao,1,gjao không đúng mau,,
tôtd,1,tôtd,,
thjk,1,thjk wa ah,,
ưngg,1,ưngg,,
hảo,1,hảo,,
hjhj,1,hjhj,,
chuyển,1,mà chuyển sang hồng nhiu hơn đỏ,,
chừng,1,chừng 3 lần giặc máy chắc không mặc được nữa,,
một số,1,một_số chỗ bị xước,,
béo,1,béo hơn mua là thành bóp_mỡ ngay,,
muốn,1,muốn trả lại !,,
hai lòng,1,hai_lòng,,
bé nhỏ,1,"bé_nhỏ cũng có_thể dắt xe , nhấc xe lên để chơi",,
cảm thấy,1,cảm_thấy không vui khi hnay xem hang,,
vui,1,vui lỏng cho đổi pin,,
dù sao,1,dù_sao vẫn rất ưng,,
bye,1,bye,,
ngay,1,ngay cạnh nhà luôn,,
zie,1,zie thì không giống mình bảo,,
mui,1,mui hắc khó ngui,,
kích,1,kích thươc chuẩn chỉ có 42 thôi không phải là 44,,
đeo,1,đeo kích chân,,
cám ơn,1,cám_ơn món quà của chị nha,,
sơn,1,sơn dễ thw . nhưng hơi khô môi,,
mơi,1,mơi mua vê chưa kiêp măt nưa . day kéo hư rôi,,
sài,1,sài rất tốt,,
nhug,1,nhug 49 kg mac không vua,,
thành ra,1,thành_ra phải đi đâp lại nữa,,
khốn nạn,1,khốn_nạn vcll,,
goi,1,goi hoi mê mình,,
ncl,1,ncl rất ưng,,
ngại,1,mà ngại đổi trả hjc,,
định,1,"định đánh_giá 2 sao rồi , nhưng ib bạn ý xong , mình đổi ý",,
băng,1,băng đo nhỏ quá,,
mún,1,mún mua nữa,,
tam dc,1,tam_dc,,
that,1,that vong kinh khung,,
cầm,1,cầm nặng_tay,,
ngăn,1,ngăn hơi nhỏ,,
the,1,the color is a little dark than pictures,,
gói,1,gói thì rất chắc_chắn,,
nhà,1,nhà tui kiến nhiều khủng_khiếp lun á,,
cách,1,"cách đây gần tuần , mình mặc đúng 1 lần",,
gia y,1,gia_y đe_p kinh khu ng khiê p . ma ng êm chân va i,,
đừng,1,đừng để bị lừa như mình !,,
very,1,very wud,,
hẹn,1,hẹn 7 10 ngày nh đặt tận 14 15 ngày mới có,,
vaj,1,vaj xau lm nhin nhu ao cu vay,,
đề nghị,1,đề_nghị trả nhưng không được thông_qua,,
hic,1,hic hic,,
xin,1,xin ca mình ơn,,
khỏi,1,khỏi phải mặc đôi,,
buô,1,buô n qua,,
hai,1,"hai đâ u_tha o rơ i được nên thay vô ra vô cu ng tiê n , lưu y nhơ că p ngo c đê gă n không bi cư ng ghim",,
hiện tại,1,hiện_tại nghe to rõ,,
tạch,1,tạch,,
siu,1,siu xink lunn,,
thực phẩm,1,thực_phẩm ít lắm !,,
nặng,1,nặng 45kg nhé,,
tấm,1,tấm gray bị gãy 1 xíu,,
kho,1,kho sai wa,,
quần lót,1,quần_lót mặc 1 lần vậy cũng được,,
46kí,1,46kí nhưg mặt khôg vừa,,
chât,1,chât luong kem vai xau may thi thô,,
vay,1,"vay hoi ngan , ren mong",,
quáaa,1,quáaa xịnn luônn,,
siêu thanh lịch,1,siêu_thanh_lịch,,
trả,1,tôi trả lại bằng cách nào ?,,
cạch,1,cạch luôn,,
lươ,1,lươ tôi shopee nhi n gia . mi nh nghi no re vâ y chă c chă ng ra gi,,
thân,1,thân !,,
keo,1,"keo viê n da không chă c chă n , ca o la tro c ra",,
tot,1,tot,,
chư,1,chư loa i da y dă n thi gia kha c rô i,,
thẻ,1,thẻ không nạp được,,
banh,1,"banh bị xì , bơm mãi không căng",,
orthe,1,orthe nhưng cũng nha,,
fix,1,fix full lun,,
mặn,1,mặn mặn cay_cay,,
kiê,1,kiê u giô ng hi_nh,,
huhu,1,huhu,,
bin,1,bin cực khủng được gần 1 tuần luôn,,
hết sức,1,hết_sức vừa_ý,,
dưới,1,dưới đây là ảnh thật mà e chụp ạ,,
day,1,day dep chat luong cung on,,
tội,1,tội cái lì đúng nghĩa á lau mãi mới hết,,
lớp,1,lớp lót chuẩn,,
đóng,1,đóng xong thấy mỗi bịch vụn mất 3 lạng,,
túi zip,1,"túi zip bạc , có gói chống ẩm , thêm cái muỗng nữa , thèmm . có ai_ngờ đó là cám , là cám nghen",,
đợt,1,đợt này không thơm như mỏi lần,,
cuc,1,cuc tot,,
thanks,1,thanks !,,
thẻ nhớ,1,mua thẻ_nhớ như_thế_nào,,
tam duoc,1,tam_duoc,,
bình thường,1,bình_thường thôi mà,,
cap,1,cap vay mong,,
oto,1,oto không có ốc lỏng léo . chắc lần đầu lần cuối,,
lạp,1,lạp sườn hơi mặn phải ăn với cơm,,
60kg,1,60kg mà mặc bị bó,,
đe p,1,đe_p,,
kiến gió,1,"kiến_gió nhà mình không ăn , nên không đuổi được kiến",,
dòng,1,dòng chữ bị nhòe,,
sai,1,nhưng sai 38 lần này bé quá không mặc được,,
gối,1,gối hơi nhỏ,,
tóc,1,tóc quá ít sử_dụng lộ hết tóc thật,,
lau,1,"lau thì sạch , mà chạy hơi lộn_xộn , chắc chưa quen",,
nhà hàng,1,nhưng nhà_hàng làm_việc rất chán,,
hơn,1,hơn 80kg mặc vẫn rất thoải_mái,,
jum,1,jum chi mà bé 10kg bằng cái jum đùi đang có,,
thi,1,thi moi vua a,,
khuy,1,"khuy không chắc_chắn , chưa kịp cài đã rơi ra",,
còi,1,còi nhỏ quá mà không xa,,
len,1,len hơi dão,,
tiê,1,tiê n na o cu a đo ca mình ơn,,
tương đối,1,tương_đối,,
quần áo,1,"quần_áo may đùi bó sát , mặc không thoải máii huhu",,
kcn,1,kcn này xài ok lắm,,
túm,1,túm lại cho 5sao,,
tră,1,tră ng hơi nga xa m_nhe,,
lởm,1,lởm,,
nan,1,nan quá,,
bóng,1,bóng bị méo,,
kính,1,kính dán khoảng 1tuần là bụi bám đầy camera trước,,
làm sao,1,làm_sao ? ?,,
giô,1,giô ng hi_nh nhung đuong chi may không chă c chă n,,
xuất sắc,1,"xuất_sắc , sẽ quay lại",,
kiwi,1,kiwi ngon,,
bao bọc,1,bao_bọc rất cẩn_thận,,
bực mình,1,bực_mình ah,,
kích hoạt,1,kích_hoạt thành_công,,
khó,1,khó đeo vào tai,,
sau này,1,sau_này sẽ ủng_hộ chị tiếp ạ,,
mại,1,mềm_mại,,
bôi,1,và bôi mất 1 cái việc cài trên cùng,,
ngo,1,"ngo c loa i 1 . 7cm , loa i 1cm , loa i 0 . 7 cm , sai sô ti xi u",,
đăng,1,đăng ảnh rõ_ràng từng sợi len đến khi gửi thàng nỉ,,
sỉze,1,sỉze hơi bé chút,,
cskh,1,cskh chưa tốt,,
tầm,1,tầm 1m65 mới vừa được,,
treo,1,treo đầu de bán thịt chó,,
tặng,1,tặng kèm quà nữa,,
chiếm,1,chiếm hết nguyên bàn tiệc lun,,
giá thành,1,giá_thành cao,,
đệm,1,"đệm kính bóng , nhiều mùi keo hơi keo đeo vào cay mắt",,
m60,1,m60 49kg mặc hơi nhỏ một_tí,,
làm,1,"làm bánh cho không mà làm sai loại bánh , vô làm lại thì bánh cháy !",,
bát,1,bát hơi nhỏ,,
đơn,1,đơn 115k lấy 198k,,
động,1,động tí là bong ra rất chán,,
nice,1,"nice style but the fabric is too hard and ửinkled , feel hot to wear it on",,
boss,1,boss thân thiê n lă mình ne !,,
đươ,1,"đươ ng may â u , vơ i gia la 100k thi no i thâ tôi qua đă tôi ngoa i chơ ba n đâ y co va i chu c ca i",,
chia,1,chia sẽ tí kinh_nghiệm với mọi người,,
che phủ,1,che_phủ trung_bình,,
oki,1,oki ak,,
công nghệ,1,"công_nghệ hơi lạ , không biết có bền không",,
bột,1,bột thơm và béo,,
trắng,1,trắng thì bự,,
mật ong,1,"mật_ong loãng , không đặc sánh lắm",,
potay,1,potay,,
cân nhắc,1,cân_nhắc ! !,,
yummy,1,yummy yummy,,
sữa,1,sữa bò tươi không đg . thơm ngon béo tự_nhiên,,
xuc,1,xuc chỉ tùm_lum,,
hihi,1,hihi,,
mất,1,mất tôi mua bực vào người,,
rât,1,rât tốt,,
fair,1,fair product quality,,
mịn màng,1,mịn_màng thoải_mái,,
đằng,1,đằng này bôi xong rát da lại còn bong tróc da nữa,,
lịch sự,1,lịch_sự,,
tóm,1,tóm lại là không có lần sau,,
chờ đợi,1,chờ_đợi quá lâu,,
chủ,1,chủ hoi nho,,
ai ngờ,1,ai_ngờ áo_rộng thùng_thình,,
rồi,1,rồi đem vứt,,
giá cả,1,"giá_cả chấp_nhận được . 3 tốc_độ nhưng chỉ là 1 , có đèn nhưng 0 bật được",,
buôn bán,1,buôn_bán thật_thà dùm đi mấy má,,
manh,1,mỏng_manh,,
yêu,1,yêu shopp,,
lóp,1,lóp bông không dày lắm,,
okey,1,okey,,
chim,1,chim ưng quá đi mất,,
phâ,1,phâ n gen bu ng không ôm,,
tai,1,tai thỏ hơi khó bóp nhưng rồi cũng quen,,
rate,1,rate 5 sao luôn,,
hang k,1,hang_k đe_p không mjn,,
toc,1,toc it qa,,
lừa đảo,1,lừa_đảo treo đầu dê bán thi tôi chó moi ngươ i dung mua ma bi lua,,
đểu,1,đểu,,
tìm hiểu,1,"mình tìm_hiểu tưởng dành cho da_dầu , mà dùng xong mặt mình vẫn ra nhiều dầu",,
chọn,1,tôi chọn mài khác tại_sao lại hai mài giống nhau,,
duog,1,duog may sau nhieu loi nhu hang cho,,
from,1,from bé,,
could,1,could be better,,
