Dòng số	Text	Lỗi phát hiện
2831	Quá tệ với mức giá, vừa mua 2 ngày, màn hình tạm nước đã bỏ ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
2836	Quá tốt trong tầm giá. Mặc dù cụm cam dày quá dễ bị va chạm ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
2837	app lừa_đảo làm mất bẩn ng dùng...	Target 'tiền' không tìm thấy trong text
2849	bền ngon đường mày không đuợc chắc_chắn...	Target 'tam' không tìm thấy trong text
2851	lần đầu xóa lazada sau 9 năm sử_dụng với cương_vị vừa là ngư...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
2852	good app ai đang cần vay gõ_trang tui đợt này thiếu số nên h...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
2859	giao sai màu , vải nóng...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
2868	Sài 1 tháng là thấy máy xuống cấp trầm trọng Chưa bao giờ th...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
2869	hàng giao không đúng màu , chất_lượng sản_phẩm được , nhân_v...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
2872	Mua hồi tháng 2 lúc giảm còn 5 triệu mấy .Ai cũng chê nhưng ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
2873	đã nhận hàng không giồng hình lắm nhưng nói_chung là được so...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
2874	áo màu xanh em đặt có mũ lại giao không có mũ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
2885	giá rẻ mà chất_lượng ổn quá...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
2887	ứng_dụng này rất ưng_ý toàn có hàng săn_seo nữa mà ngon...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
2893	trải_nghiệm tệ_hại lươn_lẹo bất_tín lần đầu dùng app phần_mề...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
2910	dịch_vụ siêu_siêu_tệ mn không nên mua_sắm trên lazada để trá...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
2927	Mình vừa mới mua nên ko đánh giá được nhiều nhưng có 1  điều...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
2929	Sau hơn 1 tháng trải nghiệm mới vào review đây mn ơi. Tầm gi...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
2932	tôi đã phải xóa ngay ứng_dụng này khi định mua món hàng đầu_...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
2937	hàng xấu tệ , mình hầu_như không chê_trách ai bao_giờ nhưng ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
2956	Sao điện thoại a50s mình thấy xài ít .nt thì chữ nhảy lum tu...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
2957	mình đặt 5 áo mà shop giao có 3 áo mà tổng_tiền vẫn là trả c...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
2959	Sao điện thoại a50s mình thấy xài ít mà pin mau tuột wa dzay...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
2989	mình lấy 2 tất màu trắng và 2 đen sao shop giao cho mình 4 t...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
2991	tương_tác với khách_hàng quá kém cả phía nhà bán lẫn nền_tản...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3001	ứng_dụng xài khá tốt nhưng có vày món hàng sao kiếm hoài khô...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3012	shop giao mình màu không giống mẫu , mẫu caro vàng_trắng còn...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3022	sao lại không lướt được màn_hình trong app vậy các app mua l...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3023	tôi hiểu cảm_giác chờ_đợi của các bạn là rất khó_chịu hụt_hẫ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3029	cho chọn 3 món bất_kỳ mua với giá 0 đ cho người mới mà cửa_h...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3034	Má có ngoại hình đẹp tuy nhiên sử dụng thì thấy khá yếu ,giậ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3042	app bỏ tiền ra quảng_cáo rất nhiều trên các app khác nhưng c...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3047	mình tưởng ngắn tay , shop giao dài tay , nhưng chất_lượng r...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3063	đặt_hàng từ tháng 9 đến giờ mới giao lúc hết hạn tìm cách hủ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3072	shop giao nhầm màu cho e rồi , e đặt màu trắng mà_lại giao m...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3077	áo giao hàng từ nước_ngoài nhưng vải không đẹp , nói_chung t...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3098	Huawei p30 lite mọi thứ đều tốt chỉ trừ camera, mình cảm thấ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3099	ứng_dụng lỗi thì không nói nhưng cho 1 sao bởi dạo này shope...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3120	Dùng hơn tháng, ko nhận diện đc khuông mặt, 1 số ứng dụng tự...	Target 'máy' không tìm thấy trong text
3125	ê_má chưa gọi điện đã hoàn_trả về ng gửi đùa hả đợi bn ngày ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3139	giao sai màu đã đặt...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3140	lần đầu xóa lazada sau 9 năm sử_dụng với cương_vị vừa là ngư...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3146	mình mua 7 món nhưng shop chỉ giao 5 và vẫn tính tiền 7...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3160	Đầu tiên về chất lượng phục vụ ở tgdd rất tốt, nhân viên vô ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3185	Mọi thứ có vẻ ổn nhưng dung lượng pin 4500mah mà tụt pin nha...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3187	Quá thất vọng với số tiền bỏ ra. Mua về sử dụng chưa đầy 1 t...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3188	ứng_dụng người bán và người giao hàng_không liên_kết gì nhau...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3195	Máy vi vo y19 chất lương trung bình so với tầm giá ,cài đặt ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3196	A70 bị lỗi cảm ứng đa điểm khi chơi game la bị còn xài bình ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3199	app như cak chưa gọi giao nhưng đã lấy lí_do gọi không được ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3204	trải_nghiệm tệ_hại lươn_lẹo bất_tín lần đầu dùng app ứng_dụn...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3206	ứng_dụng hoạt_động kém đứng liên_tục máy liên_tục báo tình_t...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3213	một app uy_tín hàng chất_lượng mà ít người dùng hơn shopee m...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3220	Chip 636/4G mà giá 11tr ( hài ) loại này giá khoảng 6tr cao ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3221	shop cheo đầu dê bán thịt chó . nhân_viên không có trách_nhi...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3241	app ổn nhưng giá không quá tốt...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3245	Máy này mình mới mua gần một tháng chạy ứng dụng đi làm, như...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3248	dù đã nhắn_tin shop , để lại ghi_chú và chọn sản_phẩm trên a...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3252	Mới dùng được 10 ngày thấy ổn trong tầm giá. Chụp ảnh đẹp. C...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3263	Máy này mình mới mua gần một tháng chạy ứng dụng đi làm, như...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3271	Samsung a21s rất tệ về mặt như : Pin hảo nhiều, màn hình lg ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3279	xin_lỗi shop nhưng mà sản_phẩm quá tệ , đóng_gói nóng cẩn_th...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3290	giao hàng ổn nhưng app không quá tốt...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3295	Mình mua máy đc gần 1 tháng camera k như quảng cáo. ram 4g ....	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3296	Nói về công nghệ và ứng dụng thì chẳng thua ai. Mẫu mã đẹp. ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3299	mua hàng trên nền_tảng này giá hợp_lí giao hàng nhanh nhưng ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3307	giá rẻ mà free ship khuyến_mãi nhiều 90 mua_sắm ở đây...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3312	máy dùng hay bị out ra màn hình chính, một số ứng dụng khởi ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3322	ứng_dụng hoạt_động kém đứng liên_tục máy liên_tục báo tình_t...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3342	vẫn biết là tiền nào của nấy nhưng không nghĩ chất xấu như_v...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3344	chắc app thì tốt đấy ổn_định nhưng hàng muốn tìm thì ít quá ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3357	6gb ram đa nhiệm quá tệ hơi thất vọng.đang chơi game tự nhiê...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3361	tôi sài app này hơn 3 năm rồi mà lúc đầu cũg ổn nhưg rồi từ_...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3365	Nhân viên online tư vấn nhiệt tình. Mình mua online giao tận...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3375	Nếu nhìn kỹ thì viền máy bị hở bên cạnh nên bụi rất dễ bám v...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3382	Máy dùng tốt với tầm giá khá nhanh nhạy pin trâu lần đâu tiê...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3388	ủa giao thiếu hàng khiếu_nại xong không thèm hoàn tiền luôn ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3393	app ncl trên app thì thông_báo hàng đã giao thành_công mà 2 ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3402	đặt màu nâu đậm mà shop lại giao màu đen...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3404	Máy Samsung A51 rất tệ....cảm biến vân tay lúc dc lúc ko...w...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3419	trước_đây app dùng tốt mà chừng 1 tháng nay hễ vô giỏ hàng l...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3422	Về camera thì máy chỉ tạm ổn khi chụp trong điều kiện đủ sán...	Target 'Pin' không tìm thấy trong text
3446	app dùng chả sao mà cái pop up_ngu không chịu được mình là b...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3456	toàn giá ảo_phí ship cao hơn cả giá hàng từ giờ không bh ủng...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3461	Điện thoại mua được hơn 1 tuần nhưng pin tụt rất nhanh, tắt ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3463	Dùng được 5 tháng r.
Càng cập nhật máy càng thấy lag, đang g...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3467	máy mặt sao bóng bẩy soi gương đc máy khá dầy nhưng k đòi hỏ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3475	giá bàn_phím hơi chát tiền ship đắt nhưng chất_lượng tốt...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3478	giao hành nhanh sản_phẩm tốt đúng màu...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3516	không giải_đáp thắc_mắc cho khách từ cửa_hàng đến app thì t ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3531	tiền nào của nấy , như tiệm bán , mặc rất nóng...	Target 'chất' không tìm thấy trong text
3534	có điều shop chú_ý kiểm_tra hàng trước khi giao cho khách nh...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3562	Chất lượng kém so vs giá sp , ổ_cứng 5000 mà tụt nhanh quá, ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3573	Ngon lành, mượt.
Màn 120hz, Hệ điều hành của oneplus thì khỏ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3580	chất đẹp nhưng shop giao nhầm mẫu cho mình...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3583	ê_má chưa gọi điện đã hoàn_trả về ng gửi đùa hả đợi bn ngày ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3588	Dùng thì cứ đơ linh_kiện_điện_tử bấm mãi mới khởi động lại s...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3590	giá thì ok nhưng giá ship hàng cao lắm mong lazada cải_thiện...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3591	May hơi giật lag khi vào những ứng dụng choi nhưng game hpiw...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3594	Máy sử dụng rất tốt. Với giá tiền này là quá ok.Máy chạy cực...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3605	giao cũng ok nhưng giá tệ...	Target 'giao hàng' không tìm thấy trong text
3608	shipper không hề ổn app cũng được nhưng không có nhiều vouch...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3625	Mình mua máy đc gần 1 tháng camera k như quảng cáo. Chụp mờ ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3635	trước dùng con mobell ram 512mb mà nó còn mượt hơn con máy n...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3649	Mình mới mua hôm 4/5, nói chung máy trong tầm giá là quá ok,...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3651	Mình vừa mua về dùng và tét thử xem dc k đã nhưng cứ đánh gi...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3658	sản_phẩm  đẹp  size hơi nhỏ ,tuynhưng hợp giá...	Target 'hợp giá tiền' không tìm thấy trong text
3661	tài_khoản của tôi đã bị lỗi cr01 không cho sử_dụng voucher m...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3662	ok đấy shipper nhiệt_tình ứng_dụng dùng mượt mà dung tôi khá...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3673	giá rẻ mà chất thì quá ok...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3678	đặt cái này mắc bực cái màu hồng kiểu khác , cực_kì vô trách...	Target 'giao' không tìm thấy trong text | Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3686	_hàng bán giá rẻ mà chất luong from áo mặc vo đẹp lắm shop ....	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3691	giao rách rách_nát cho khách rồi bù 7...	Target 'sản_phẩm' không tìm thấy trong text
3701	Xài đáng tiềnmà.sạc nhanh  lâu pin bắt sóng wifi vs sóng thô...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3708	Đt a92 này đag xem hoặc đag j hay bị out ra ngoài....thường ...	Target 'máy' không tìm thấy trong text | Target 'app' không tìm thấy trong text | Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3729	ứng_dụng lỗi thêm sản_phẩm vàogiỏ hàng rồi mà không có gì hế...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3742	rất tiện nhưng nhiều shop bán hàng kém chất_lượng không như ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3746	shipper gọi hàng đã đến tôi bảo shipper giao đến nhà mà khôn...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3770	Mình mua sử dụng khoảng 20 ngày, đánh giá theo cá nhân sử dụ...	Target 'dụng)
4:' không tìm thấy trong text | Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3793	lần đầu xóa lazada sau 9 năm sử_dụng với cương_vị vừa là ngư...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3804	cửa_hàng giao sai sản_phẩm nhưng tiki chỉ hỗ_trợ đổ sản_phẩm...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3814	gói cẩn_thận , bên shop hàng cho bên vận_chuyển nhanh_chóng ...	Target 'gói hàng' không tìm thấy trong text | Target 'giao hàng' không tìm thấy trong text
3847	giao không đúng màu mình chọn nhưng chất đẹp nên mình không ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3859	May hơi giật lag khi vào những ứng dụng choi nhưng game hpiw...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3868	app bỏ tiền ra quảng_cáo rất nhiều trên các app khác nhưng c...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3874	xin_lỗi shop nhưng mà sản_phẩm quá tệ , đóng_gói không cẩn_t...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3875	ứng_dụng hay nhưng nhiều lúc có shipper thái_độ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3884	Mới trải nghiệm 1 ngày mà chán quá chơi game song thoát ra h...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3890	mình mua sản phầm này và các sản_phẩm khác tổng_số_lượng là ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3901	ủa giao thiếu hàng khiếu_nại xong không thèm hoàn tiền luôn ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3914	mình mua 7 món nhưng shop chỉ giao 5 và vẫn tính tiền 7...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3933	qc như qq bấm chỗ lon nào cũng văng vô_app nói thật nếu ngta...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3940	nhưng nhận được hàng rồi thì thấy ok lắm thấy có niềm tin và...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3964	áo đẹp xuất_sắc , không tương_xứng với giá tiền vì áo quá đẹ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3965	Mình vừa mới mua sản phẩm này, nói chung cấu hình cao hơn so...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3974	sao lại không lướt được màn_hình trong app vậy các app mua h...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3983	Quá  tệ  với  mức  giá, vừa  mua 2 ngày, màn hình  giọt nước...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3985	hơi đắc hơn áp khác nhưng được_cái có hỗ_trọ vận_chuyển hàng...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3988	rất ưng_ý luôn tầm_giá rẻ mà chất_lượng không hề rẻ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3989	shop giao nhầm màu cho e rồi , e đặt màu trắng mà_lại giao m...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
3993	ứng_dụng xài khá tốt nhưng có vày món chuột sao kiếm hoài kh...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
4011	ứng_dụng thì hay nhưng hàng đăng bán trên tiki giá đắt hơn r...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
4017	giao hàng chậm vl không đa_dạng mẫu_mã như shoppe không giao...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
4025	Lúc đầu thi ok ạ. Tất cả mọi thứ đều ok. Nhưng Mặc dù có dùn...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
4026	củ_sạc rất đẹp , rẻ hơn giá bán ở ngoài nhưng chất_lượng cx ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
4030	hic trời ơi chưa thiếu thấy shop nào mà đóng_gói sản_phẩm nh...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
4040	Sao ghi là Bộ nhớ 32GB mà mở lên chỉ 20GB xong chỉ tải những...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
4065	app dễ tìm_kiếm cây_chổi mà mình cần mua sẽ tiếp_tục ủng_hộ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
4091	Máy_hút_bụi sài tháng cảm thấy thất vọng , hiện tượng đơ yếu...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
4115	Nhân viên tư vấn nhiệt tình.. Mới mua xài mấy hôm chưa sử dụ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
4117	nhận hàng được mấy ngày rồi mà nay mới rảnh đánh_giá cho sho...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
4124	app dễ tìm_kiếm cây_chổi mà mình cần mua sẽ tiếp_tục ủng_hộ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
4133	Vì tình yêu samsung nên mới mua con này, nhưng khi sử dụng t...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
4136	Mua máy ngày hôm qua.công nhận là quá tốt so với số tiền bỏ ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
4146	không ưng cây_chổi này lắm nhưng với giá tiền vậy thì cũng c...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
4157	mới đặt cái đơn 0 có mã giảm_giá mà gần tết nó thấy thừa khô...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
4164	đặt_hàng giao cho ai đâu không , tui chưa hề được mà báo đã ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
4176	giá rẻ mà nhiệt tình ổn quá...	Target 'chất_lượng' không tìm thấy trong text | Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
4187	Sản phẩm tốt trong tầm giá, cảm ứng mượt mà, chuột đẹp. Chụp...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
4190	Mọi thứ đều rất ổn. Xứng đáng với tầm giá pin trâu cam ổn mà...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
4198	Hôm nay vừ làm 2 em xong nhé,về cập nhật xong dùng mượt miễn...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
4207	Máy cứ bị đơ, dòng a10s tính ra giá cao mà dùng thua máy 1tr...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
4230	nhiều cửa_hàng bán hàng kém chất_lượng nhưng tiki không có c...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
4235	kết_nối nhân_viên tư_vấn lâu nhân_viên tư_vấn khiếu_nại cũng...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
4259	không giải_đáp thắc_mắc cho khách từ cửa_hàng đến app thì t ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
4262	phí ship gấp nhiều lần tiền hàng cùng củ_sạc bên shoppi giá ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
4283	sao lại không lướt được màn_hình trong app vậy các app mua l...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
4289	Máy rất tệ.ko chơi nổi free fire.phí tiền.ko bằng con oppo k...	Target 'loa' không tìm thấy trong text
4327	Mọi thứ có vẻ ổn nhưng dung lượng pin 4500mah mà tụt pin nha...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
4346	Khuyên những ai tính mua điện thoại này thì suy nghĩ kĩ. Nhữ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
4348	shopee luôn giá tốt hơn sàn khác nhưng cũng_nên quan_tâm đến...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
4350	shop ghi freeship nhưng thực_tế không phải...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
4361	giá mà có size rộng hơn 1 cỡ thì sẽ càng thoải_mái hơn...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
4365	Máy có thiết kế hài hòa thân thiện .  thừa hưởng thiết kế tố...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
4391	shop làm_ăn cẩu_thả . áo lỗi cũng đem giao cho khách . tôi y...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
4408	màu đẹp vải ổn với tầm giá...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
4415	Samsung càng ngày ra máy nhiều mà kém chất lượng cho mọi oha...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
4421	shop nên xem_lại cách yếu...	Target 'đóng_gói' không tìm thấy trong text
4429	Tôi mua a70 đc hơn 1 tháng thì phải đem tới trung tâm bảo hà...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
4440	kết_nối nhân_viên tư_vấn lâu nhân_viên tư_vấn khiếu_nại cũng...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
4446	Máy mới mua hồi sáng nhưng mình đánh giá máy rất chắc chắn r...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
4456	pin gì mà tuột nhanh dữ vậy để qua đêm mà tụt hơn 10% dù đã ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
4458	Máy dùng tốt.có vài lỗi là cảm ứng tiệm cận thỉnh thoảng khô...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
4466	áo nhỏ quá  mút mỏng nữa ,, đúng là nấy...	Target 'tiền' không tìm thấy trong text
4475	ứng_dụng này rất ưng_ý toàn có hàng săn_seo nữa mà ngon...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
4478	tôi đã phải xóa ngay ứng_dụng này khi định mua món hàng đầu_...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
